Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,mfpn,mpn,sim.pins,sim.device,sim.type,i2c,height,mouser part number,mouser price/stock,manufacturer_name,manufacturer_part_number
1,Single-cell battery,2xBATT,BT1,BATT,BAT_BK-18650-PC4,1,~,5c70984412875079b91f87e9,,,,,,,,,,,
2,"Unpolarized capacitor, small symbol",C_Small,C3,1n,C_0805_2012Metric,1,~,5c70984712875079b91f8b45,C0805 1u,C0805 1u,,,,,,,,,
3,"Unpolarized capacitor, small symbol",C_Small,C12,3n3,C_0805_2012Metric,1,~,5c70984712875079b91f8b47,,,,,,,,,,,
4,"Unpolarized capacitor, small symbol",C_Small,C5,47n,C_0805_2012Metric,1,~,65482046462c6d9e72056b98,,,,,,,,,,,
5,"Unpolarized capacitor, small symbol",C_Small,C1C2C4C11C14C18C19,100n,C_0805_2012Metric,7,~,5c70984712875079b91f8b4c,,,,,,,,,,,
6,"Unpolarized capacitor, small symbol",C_Small,C8C13,1u,C_0805_2012Metric,2,~,5c70984712875079b91f8b50,,,,,,,,,,,
7,"Unpolarized capacitor, small symbol",C_Small,C9,4u7,C_0805_2012Metric,1,~,5c70984712875079b91f8b52,,,,,,,,,,,
8,"Unpolarized capacitor, small symbol",C_Small,C7C10C17,10u,C_0805_2012Metric,3,~,5c70984712875079b91f8b53,,,,,,,,,,,
9,"Unpolarized capacitor, small symbol",C_Small,C6C15,22u,C_0805_2012Metric,2,~,650b58f1462c6d9e7205463b,,,,,,,,,,,
10,"Unpolarized capacitor, small symbol",C_Small,C16,47u,C_0805_2012Metric,1,~,5c70984812875079b91f8bbf,,,,,,,,,,,
11,"Light emitting diode, small symbol",LED_Small,D5D6D7D8D10,GREEN,SMD_LED_RIGHT_KINGBRIGHT_1605,5,~,65481f0c462c6d9e72056b3d,,,1=K 2=A,,,,,,,,
12,"Light emitting diode, small symbol",LED_Small,D3D4D9,ORANGE,SMD_LED_RIGHT_KINGBRIGHT_1605,3,~,65481fdd462c6d9e72056b6a,,,1=K 2=A,,,,,,,,
13,"Light emitting diode, small symbol",LED_Small,D1D2,RED,SMD_LED_RIGHT_KINGBRIGHT_1605,2,~,65481f96462c6d9e72056b54,,,1=K 2=A,,,,,,,,
